Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Jim	18:7 3/1/2022	145
Mike	4:37 3/3/2022	99
Mike	4:50 3/3/2022	147
Mike	4:58 3/3/2022	180
Mike	5:0 3/3/2022	105
Mike	5:38 3/3/2022	127
Mike	6:10 3/3/2022	85
Mike	6:35 3/3/2022	0
Mike	6:37 3/3/2022	108
Mike	6:42 3/3/2022	132
Tom	6:43 3/3/2022	143
Mike	6:45 3/3/2022	119
Mike	6:48 3/3/2022	113
Mike	6:51 3/3/2022	110
Mike	7:18 3/3/2022	142
Mike	7:20 3/3/2022	145
